0.05,0.27,-0.88,-0.43,-0.59,2.18,-0.08,51,53,-86
0.10,0.27,-0.89,-0.43,-1.63,6.20,-0.83,54,53,-88
0.15,0.27,-0.90,-0.45,-2.26,6.29,1.02,53,52,-84
0.20,0.28,-0.89,-0.44,-1.70,3.87,-0.54,53,53,-83
0.25,0.28,-0.87,-0.44,1.68,4.20,-3.34,54,53,-86
0.30,0.27,-0.88,-0.44,3.24,6.48,-3.27,54,50,-85
0.35,0.27,-0.89,-0.44,3.39,7.03,-1.33,53,51,-86
0.41,0.28,-0.90,-0.46,1.51,3.64,-0.69,53,50,-84
0.46,0.28,-0.90,-0.47,0.53,2.75,-0.69,53,50,-85
0.51,0.28,-0.90,-0.46,-3.75,4.33,1.04,53,50,-86
0.56,0.29,-0.88,-0.45,-4.86,5.42,-0.06,54,52,-85
0.61,0.29,-0.87,-0.45,-4.34,3.36,-0.20,54,51,-84
0.66,0.30,-0.87,-0.44,-1.46,1.24,-1.21,54,51,-82
0.71,0.29,-0.88,-0.44,-1.95,2.20,-3.23,53,52,-83
0.76,0.29,-0.89,-0.45,-5.84,4.46,-3.07,52,53,-84
0.82,0.29,-0.88,-0.45,-6.21,2.96,-0.61,53,52,-84
0.87,0.29,-0.88,-0.47,-8.07,3.28,-1.33,51,50,-83
0.92,0.28,-0.90,-0.49,-13.83,5.55,0.16,51,49,-86
0.97,0.27,-0.90,-0.50,-14.51,6.34,4.29,50,50,-84
1.02,0.27,-0.93,-0.54,-23.38,13.74,10.77,51,50,-84
1.07,0.27,-0.94,-0.57,-26.59,19.52,17.23,52,50,-84
1.12,0.28,-0.92,-0.62,-35.84,21.68,22.30,51,52,-86
1.17,0.25,-0.92,-0.65,-22.06,17.16,26.75,52,52,-85
1.23,0.26,-0.97,-0.76,-50.72,22.33,35.26,52,52,-86
1.28,0.30,-0.95,-0.80,-51.30,26.36,30.91,55,53,-86
1.33,0.34,-0.94,-0.90,-92.21,21.91,20.87,54,54,-85
1.39,0.32,-0.81,-0.83,-73.51,-11.97,29.30,53,52,-89
1.44,0.31,-0.72,-0.85,-83.32,-23.94,17.97,52,56,-92
1.50,0.25,-0.55,-0.72,-40.56,-45.72,17.67,53,56,-94
1.55,0.20,-0.51,-0.73,-39.42,-28.60,13.20,53,57,-97
1.61,0.19,-0.37,-0.73,-20.24,-17.25,-2.06,49,59,-99
1.66,0.11,-0.26,-0.74,-12.92,-30.91,-10.60,51,61,-101
1.72,0.07,-0.17,-0.73,-4.34,-34.36,-16.96,50,60,-99
1.77,-0.00,-0.08,-0.69,14.11,-39.86,-28.47,51,60,-100
1.83,0.08,-0.26,-0.98,-17.98,-11.55,-64.55,50,60,-102
1.89,0.09,-0.27,-0.97,3.52,-46.84,-79.40,46,56,-102
1.95,0.07,-0.69,-0.81,1.29,-24.80,-56.73,46,58,-101
2.00,0.17,-1.07,-0.66,-8.05,31.59,-40.33,44,55,-99
2.06,0.33,-1.36,-0.76,-11.41,58.27,-0.56,44,52,-99
2.11,0.41,-1.30,-0.82,-20.84,30.17,0.56,44,50,-97
2.16,0.36,-1.13,-0.86,-4.80,-33.02,-8.32,44,53,-100
2.22,0.22,-1.01,-0.82,-2.90,-48.30,5.15,44,53,-99
2.27,0.18,-0.76,-0.79,-9.86,-25.32,1.24,43,55,-103
2.32,0.17,-0.62,-0.80,-0.85,-18.65,17.88,42,57,-103
2.38,0.08,-0.40,-0.81,-4.69,-6.50,10.48,43,61,-106
2.43,0.07,-0.44,-0.81,-2.58,9.36,25.18,42,59,-105
2.49,0.06,-0.43,-0.89,-16.94,20.58,19.12,43,60,-106
2.54,0.09,-0.35,-0.88,0.07,17.27,23.40,40,61,-105
2.60,0.15,-0.39,-0.95,-8.09,14.21,16.21,42,59,-105
2.65,0.10,-0.35,-0.91,6.81,-0.89,14.66,42,58,-105
2.70,0.09,-0.37,-0.87,8.86,4.71,8.64,44,59,-103
2.75,0.12,-0.40,-0.84,7.43,20.54,6.48,43,60,-104
2.81,0.12,-0.42,-0.88,6.66,30.82,4.23,45,60,-104
2.86,0.14,-0.40,-0.88,17.94,20.73,6.25,43,57,-101
2.91,0.10,-0.42,-0.90,16.11,23.25,2.78,44,54,-100
2.96,0.11,-0.47,-0.96,22.88,33.84,12.15,44,56,-99
3.02,0.16,-0.53,-1.04,17.69,43.88,7.10,47,53,-97
3.07,0.22,-0.56,-1.11,7.27,31.07,5.76,45,55,-98
3.12,0.24,-0.53,-1.05,14.63,-1.68,5.11,46,54,-96
3.17,0.23,-0.56,-0.99,18.92,-18.87,10.18,48,56,-95
3.22,0.18,-0.58,-0.95,10.13,-16.59,4.27,49,57,-96
3.28,0.18,-0.59,-0.90,2.69,-8.05,2.68,47,56,-98
3.33,0.17,-0.60,-0.87,-0.87,-2.88,3.39,49,55,-97
3.38,0.18,-0.59,-0.86,0.31,-1.46,1.85,50,56,-97
3.43,0.19,-0.59,-0.84,1.13,-2.59,-0.08,48,56,-98
3.48,0.19,-0.59,-0.84,1.88,-3.82,-3.20,47,55,-99
3.54,0.18,-0.61,-0.83,2.69,-6.44,-3.79,49,56,-99
3.59,0.16,-0.62,-0.83,0.45,0.38,-4.07,48,55,-98
3.64,0.15,-0.63,-0.84,1.44,5.15,-3.47,48,57,-99
3.69,0.18,-0.63,-0.86,0.14,1.48,-2.47,50,55,-97
3.74,0.18,-0.62,-0.85,0.63,-0.56,-1.75,49,58,-99
3.79,0.18,-0.62,-0.84,-0.18,3.86,-1.32,47,57,-95
3.85,0.19,-0.61,-0.83,-0.75,3.16,-2.06,48,56,-96
3.90,0.19,-0.60,-0.83,2.38,3.56,-2.69,49,57,-98
3.95,0.18,-0.60,-0.82,0.06,8.00,-7.55,48,53,-97
4.00,0.18,-0.58,-0.80,5.45,7.83,-4.20,49,55,-97
4.05,0.17,-0.57,-0.81,10.83,10.21,-4.88,50,53,-95
4.10,0.21,-0.61,-0.89,10.89,16.22,-0.89,51,52,-94
4.16,0.27,-0.67,-1.04,-0.74,17.41,-3.98,47,54,-94
4.21,0.28,-0.65,-1.08,-0.76,-10.16,-0.14,46,55,-94
4.26,0.24,-0.62,-1.03,4.68,-29.36,-0.02,49,55,-94
4.32,0.20,-0.61,-1.01,4.75,-30.56,-1.63,48,54,-96
4.37,0.16,-0.60,-0.99,-7.74,-28.95,2.95,48,57,-97
4.42,0.15,-0.51,-0.98,-15.15,-26.21,3.51,48,57,-99
4.48,0.13,-0.43,-0.94,-22.61,-23.11,-0.66,48,58,-101
4.53,0.14,-0.32,-0.94,-22.78,-20.92,-17.81,48,57,-102
4.59,0.11,-0.22,-0.90,-17.85,-57.33,-24.34,45,59,-101
4.65,-0.00,-0.14,-0.78,-8.13,-62.15,-10.83,47,60,-103
4.70,-0.13,0.01,-0.72,3.90,-53.87,-35.15,46,62,-106
4.76,-0.04,-0.37,-0.60,1.53,-32.55,-31.20,45,62,-106
4.82,0.17,-1.10,-0.63,17.56,-8.19,20.60,46,61,-107
